UNIQID,NAME,0C12_S,0C179_S,0C167_S,0C0936_S,AP5204_S,AP10222_S,AP12366_S,AP13058_S,AP13223_S,AP14217_S,AP14398_S,BP185_S,BP355_S,BP7644_S,CP6667_S,CP9949_S,CP12361_S,CP13701_S,CP13774_S,XP139_S,XP10557_S,XP13296_S,XP13451_S,XP14399_S,XP14698_S,XP15443_S,XP170_S,XP6209_S,XP7297_S,XP9376_S,XP9875_S,XP10232_S,XP11567_S,XP14735_S,XP16942_S
139,200070_at,7.055333,8.10029,7.435636,6.959738,6.736119,7.325408,7.544189,7.548732,7.524227,7.196079,7.103379,7.064223,6.409757,7.137041,7.201762,7.10825,7.375435,6.958851,7.23029,6.95567,6.369586,7.177851,7.127658,7.326004,6.842657,6.910536,6.534542,6.422797,6.767134,7.111753,6.994084,6.717648,6.662284,7.679322,6.848572
140,200071_at,5.802465,6.965273,5.850288,5.692038,6.287761,7.385844,6.732439,6.599865,8.462167,6.174692,6.813615,5.987172,6.290254,6.116238,5.390235,5.774683,6.307588,6.187845,6.337157,6.839983,5.045981,7.172976,6.826412,7.520861,6.499829,5.890986,6.40129,4.943425,5.684042,6.506063,5.936981,6.115124,6.120514,6.331495,5.931023
141,200072_s_at,9.185885,9.868104,8.988733,9.043703,9.155881,9.821206,9.421157,9.831237,9.964437,9.15192,9.621939,9.632246,9.497926,9.051143,9.873485,9.131603,9.557972,9.179285,9.292731,10.171,8.759621,9.594809,8.904587,9.863748,9.424879,9.605176,9.902948,8.334452,10.13646,9.72095,9.826591,9.46974,9.556692,9.30544,10.289476
142,200073_s_at,8.485223,8.990015,8.257001,8.798425,8.993213,8.741954,8.964574,9.107213,8.862587,9.04088,8.943653,8.868858,8.798186,8.525782,8.859695,8.589001,9.317275,8.159866,8.410798,9.385397,8.600029,9.374849,7.893873,9.192136,8.663159,8.716993,9.359605,8.382358,9.476671,8.959637,9.128463,8.749008,9.115197,8.788982,8.570133
143,200074_s_at,10.475079,10.884503,10.092031,10.151725,11.345638,11.537501,11.240612,11.271072,11.323474,11.135561,10.613211,11.073836,11.295471,11.28867,10.873252,11.001152,11.131818,10.752293,9.84929,10.636385,11.431606,11.702088,10.673374,11.134146,11.123274,11.019412,11.108439,10.746046,11.888424,11.520459,11.362262,11.795408,11.405321,10.612847,11.684638
144,200075_s_at,8.397329,7.789631,8.695142,8.259635,7.789441,8.3102,8.566986,8.732474,8.145934,7.747136,8.756797,8.655429,8.425508,7.640486,8.212651,8.520172,8.268262,9.20277,8.633911,7.709667,7.671529,8.371767,7.492612,8.564401,7.474002,8.557933,8.868946,7.170727,8.535022,8.000753,8.42234,7.993763,8.35871,8.970287,9.338125
145,200076_s_at,8.071568,8.581185,7.633803,7.466682,7.505412,8.202102,8.036732,8.377422,7.88185,7.816092,8.165161,8.502485,8.291807,8.180165,8.434563,8.172335,8.402989,8.121052,8.475454,8.121275,8.2181,8.14146,8.0984,7.983956,8.069687,8.153745,8.227224,7.009849,8.125918,8.219364,8.368108,8.224244,8.020305,8.472128,8.681005
146,200077_s_at,12.609776,12.76732,12.890414,12.466187,11.683626,12.02679,11.921292,11.803368,12.117125,11.780458,12.136237,11.768856,11.581842,11.954301,12.487467,12.632167,12.341803,12.456983,12.897016,11.938318,12.217737,11.958872,12.105439,12.144958,11.93833,12.0795,11.890425,11.403712,11.956431,11.926248,12.114329,12.117125,11.911296,12.191492,11.638107
147,200078_s_at,10.091628,10.163707,10.424589,9.839288,9.600688,10.04127,9.485733,10.392426,10.039815,9.259183,10.680389,9.893634,9.921571,9.889189,10.280554,10.244173,10.106036,10.205245,10.682504,10.176017,9.773364,8.931766,10.102543,10.152139,9.44361,10.153038,9.51235,8.082007,9.001095,9.524638,9.631829,9.801293,9.370937,9.820226,9.038259
148,200079_s_at,8.484747,8.654612,7.929166,8.047566,9.120254,9.338018,9.30624,9.786275,9.38432,8.797196,8.99716,9.546035,9.101557,8.739682,9.083194,8.491247,9.053887,8.064006,8.685311,9.268883,8.818476,9.497848,8.380461,9.315877,8.78033,8.881348,9.63371,8.342244,9.322146,9.329634,9.232376,9.16955,8.861059,8.430777,9.469335
149,200080_s_at,11.114318,11.474843,11.487178,11.773845,10.612005,10.344347,10.487189,10.300007,9.890308,11.110632,10.747104,10.602903,10.487622,10.222291,10.165778,10.840744,10.539732,10.981877,10.988371,11.307173,10.25477,10.643588,10.672491,11.08211,10.660403,10.608233,10.952651,10.072633,10.481132,10.315528,10.416204,10.572206,10.412308,10.961022,10.752855
150,200081_s_at,11.880351,11.826972,11.399614,11.798043,12.686958,12.631164,12.527414,12.403749,12.543605,12.192043,11.478959,12.562048,12.259532,12.737029,12.376411,12.495729,12.328982,11.397211,11.385089,12.63212,12.387173,12.90584,11.785529,12.595897,11.99972,12.486387,12.5668,12.671523,12.417886,12.334426,12.562507,12.432238,12.712221,11.541659,12.17366
151,200082_s_at,11.453946,12.018712,11.318484,11.092079,12.367985,12.264541,12.367524,12.348706,12.252899,12.507292,11.752608,12.32811,11.741484,12.362313,12.063068,12.122026,11.825911,11.543925,11.506322,11.869868,11.805567,12.496727,11.429829,12.309838,11.723283,11.993363,12.331468,12.010112,12.118408,11.96763,12.0822,12.180389,12.471083,11.874717,12.149887
152,200083_at,8.158962,8.34045,7.686493,7.677171,8.680924,8.850563,9.485142,9.082064,9.299236,8.839705,9.289478,8.174525,8.357167,8.381434,8.279346,8.285994,7.607779,8.114913,8.516938,9.610689,7.717322,8.216135,8.450705,9.659205,8.904639,9.138466,8.950279,7.513003,8.505115,9.043065,7.421226,8.833309,8.520304,8.722267,8.860481
153,200084_at,8.314096,8.116718,8.23016,8.501442,9.33609,9.046527,9.528861,9.492342,9.560079,9.043483,9.000476,8.986875,8.552813,8.247672,8.421407,8.416621,9.030142,7.642592,8.481245,9.105954,8.812063,9.259484,8.072811,8.84286,8.879738,7.694207,8.694939,7.430508,8.099816,9.307313,9.035887,8.57802,7.954392,8.535769,8.388782
154,200085_s_at,8.841683,9.144339,9.349117,8.659413,8.778699,9.037148,9.599438,9.594983,8.8543,9.192629,9.160245,9.158939,9.153872,8.719269,9.896844,9.654955,9.407226,9.811537,9.303269,8.95665,9.303832,9.378579,8.489165,9.630693,8.74869,9.021024,9.092901,7.940959,9.970032,9.186113,9.502944,9.447208,9.183716,9.068021,9.312223
155,200086_s_at,9.810218,10.165973,9.873076,9.028001,9.375317,10.220387,10.346696,10.455207,10.269997,10.032094,9.834012,9.772142,10.139943,9.85423,10.267116,10.156819,10.492157,10.379541,9.924221,9.729585,9.942727,10.180971,9.824266,10.274355,9.445846,10.049264,10.099408,9.413416,9.953628,9.9107,10.319935,9.839323,10.013724,9.859065,10.080295
156,200087_s_at,8.977728,9.380008,8.586052,8.729287,9.820099,9.363468,9.820587,9.821142,10.144213,9.785611,9.468359,8.742608,9.517511,8.739764,9.063294,8.822859,8.959387,9.717609,9.002806,9.486976,9.119977,9.298729,8.940345,9.445135,8.902888,8.715194,9.161462,7.905928,8.121374,8.651307,9.04408,8.679854,9.589412,9.212094,9.555107
157,200088_x_at,12.097052,12.089978,11.490286,11.452191,12.446612,12.704046,12.750066,12.709196,13.040592,12.548302,12.022409,12.812559,12.694553,12.607711,12.763453,12.611483,12.553924,12.158612,11.872522,12.607049,12.873338,13.348187,12.577328,12.921515,12.805388,12.899983,12.761526,12.474457,12.913093,12.91682,12.991925,12.784796,12.835665,12.39429,12.744122
158,200089_s_at,10.666639,10.62161,10.360797,10.666562,11.493287,11.679646,11.467357,11.687718,11.559148,11.648245,10.914375,11.558267,11.681051,11.726292,11.127216,11.204804,11.352006,10.814109,10.86376,11.490272,11.528338,11.933624,11.171945,11.886848,11.302851,11.601369,11.618239,11.409075,11.81762,11.397442,11.585131,11.403499,11.284668,11.273893,11.55485
159,200090_at,8.233528,8.860889,7.921624,7.688518,8.367155,8.513239,9.141659,8.916227,9.81315,8.599677,8.325905,8.310714,7.725138,8.471648,9.29574,8.53244,8.696692,7.10038,8.569373,8.88359,8.487674,8.877066,8.589118,8.690691,8.63389,7.606632,7.564801,7.966453,5.690078,9.501764,8.345947,8.834115,8.391902,7.954208,7.918023
160,200091_s_at,10.154459,10.491891,10.617962,10.346,11.17154,10.973698,11.28869,11.166858,11.331185,11.650769,10.553814,11.068172,10.648635,10.78749,9.918921,10.775465,10.78777,10.78098,10.61123,11.192146,11.013734,11.676603,11.038212,11.596063,11.318194,10.911336,11.082759,10.665383,11.039673,11.280243,11.129683,11.012777,11.401299,11.38656,10.950937
161,200092_s_at,10.901989,11.432123,11.283375,11.357853,11.991201,11.835428,11.966882,11.923912,12.089049,12.340622,11.472346,11.910732,11.942154,11.888641,11.251966,11.688855,11.892478,11.667833,11.579508,12.064255,12.039643,12.299272,12.053891,12.25498,12.198339,12.02573,12.070952,11.523815,11.998176,12.267597,11.885844,11.876435,11.975001,12.054647,12.178744
162,200093_s_at,8.647152,8.824147,8.779519,7.710133,10.078467,9.685869,10.346313,10.398282,10.133922,10.492938,9.825705,9.883537,9.27315,9.479231,8.665863,9.381347,8.830056,9.285951,8.899364,9.388856,9.294026,10.681427,8.045423,10.550515,9.866982,9.617772,10.319457,8.532702,9.138087,9.935075,9.420269,9.213678,10.566817,9.681999,10.127747
163,200094_s_at,11.244549,10.567987,10.918965,10.444796,11.872357,12.610025,12.558095,12.037488,12.226943,12.279722,11.52323,12.003682,12.246426,12.254233,12.063257,11.866362,11.844011,11.596822,11.907075,11.962786,12.310135,12.316685,11.762177,12.508278,11.680718,12.454722,12.143287,12.244465,12.486622,12.541574,12.026662,12.357522,12.341023,11.850128,12.579128
164,200095_x_at,12.759587,13.118231,12.839255,12.283955,13.003166,13.174279,13.303394,13.436422,13.392956,13.451764,13.001296,13.357945,13.122791,13.212815,13.274209,13.099388,13.257108,12.882977,12.918405,13.18546,13.16962,13.653501,13.205109,13.517157,13.315221,13.332543,13.332225,13.119226,13.131402,13.579024,13.475909,13.382612,13.608926,13.356163,13.13724
165,200096_s_at,9.235737,10.051613,9.449965,9.11306,9.152645,9.039367,9.681306,9.607344,9.184983,9.011193,9.020429,9.067103,8.220512,8.254502,9.111164,9.568417,9.337081,8.694122,9.64022,9.404995,8.936758,8.129587,8.288856,8.210585,8.483189,7.855207,8.160203,7.89774,7.759724,8.411155,8.369648,8.666824,8.128752,7.954581,7.468536
166,200097_s_at,9.129518,9.883415,8.992276,9.583492,9.141209,9.825374,8.936095,9.094446,9.760745,9.070862,9.154881,9.567391,9.286434,9.106938,8.393333,8.075749,9.028149,9.621523,9.128503,9.821669,8.888043,10.086398,9.039044,10.036888,9.563028,9.661581,10.047552,8.615015,9.336478,9.836135,9.025296,9.065869,8.740345,9.648764,9.814378
167,200098_s_at,9.163908,9.249599,8.722594,8.415295,9.264735,9.14005,9.679462,9.897853,9.184145,9.929552,9.664234,9.510275,8.518664,8.883476,9.184145,8.895395,8.672171,8.490292,9.207098,9.740098,8.414586,9.051213,8.014012,9.874213,9.337859,9.639029,9.571098,8.043051,8.74839,8.641305,8.551174,9.184145,9.482318,9.477786,9.517452
168,200099_s_at,11.626853,12.334622,12.127867,11.876357,12.700206,12.683261,12.854697,12.459416,12.609909,12.925616,12.224448,12.507577,12.212508,12.591228,12.230652,12.426567,12.338285,11.895263,12.191311,12.453388,12.42775,12.894634,11.980744,12.648159,12.21655,12.405333,12.592042,12.507108,12.486205,12.620505,12.445764,12.447668,12.71481,12.104728,12.338805
169,1007_s_at,6.433198,6.106134,6.28274,6.412936,6.526138,6.067303,5.998318,5.709436,5.941554,6.028547,6.235709,5.940889,6.180363,6.287505,6.156901,6.183319,6.099623,6.399665,6.324494,6.025261,6.288418,6.003851,6.665945,6.120829,6.335053,6.185757,6.081087,6.187919,6.007827,6.249763,6.375396,6.23487,6.286688,6.606181,6.199733
170,1053_at,5.46946,5.578738,5.628733,5.532981,5.570212,5.45119,5.575299,5.893256,5.743972,5.059037,5.509461,5.274756,5.392761,5.53955,5.747174,5.727132,6.277476,5.123026,4.90494,5.148251,5.323055,6.04926,5.153774,5.39254,5.217133,5.346273,5.573739,5.318729,5.843762,5.887167,6.256707,5.704792,6.226376,5.252281,5.262451
171,117_at,6.151987,6.343406,5.378027,5.637839,4.827898,4.834161,4.825147,4.729559,4.444883,4.839639,5.427248,5.268352,4.998227,5.009531,5.189069,5.139517,4.932541,5.114906,6.225367,4.814371,4.984451,4.848601,5.308255,4.547819,4.896089,5.069309,4.993842,4.846768,4.864052,4.870223,4.962165,4.959315,4.886283,5.007074,4.824712
172,121_at,7.93087,7.661028,7.912488,7.94956,8.278201,7.960788,7.849905,7.4709,7.444143,7.810073,7.873343,7.684338,7.987969,8.201195,7.677847,8.11713,7.778596,7.929584,7.904167,7.912413,8.17232,7.711126,8.025232,7.683252,8.116943,7.739667,7.984079,8.08306,7.682782,8.034516,7.985112,7.917305,7.992361,7.861976,7.790435
173,1255_g_at,3.732712,3.774768,3.809157,3.784962,3.777648,3.766512,3.742269,3.742671,3.6978,3.696734,3.855102,3.742963,3.852715,3.801239,3.714256,3.7708,3.729558,3.919934,3.763787,3.641534,3.93146,3.749419,3.901968,3.588928,3.678175,3.895934,3.795541,3.85729,3.920521,3.659632,3.794248,3.902994,3.708277,3.647429,3.956976
174,1294_at,7.864428,8.247568,7.498114,7.638391,7.006063,7.813714,7.707011,7.369466,6.989873,7.523009,7.795554,8.589658,8.205235,8.269736,8.190051,8.038298,7.884327,7.450478,8.737234,7.961914,7.699026,7.423163,7.199099,7.95599,7.928384,8.834748,8.891409,7.443207,7.367322,7.395965,8.002792,9.414704,7.796862,9.325118,8.880632
175,1316_at,5.095825,4.959933,5.291726,5.142464,5.04612,5.02481,4.920985,4.620602,4.832338,5.176259,5.041187,4.948161,5.074549,5.028746,5.051385,5.072885,5.159068,5.194142,5.186251,4.972241,5.339937,4.973641,5.347518,5.083221,5.134313,5.002731,5.08239,5.099218,5.213869,5.236955,5.160914,5.139754,5.120562,5.085667,5.013144
176,1320_at,4.066426,3.957228,4.156128,4.150846,4.125473,3.990875,3.905677,3.950661,3.910756,4.133528,3.971649,4.061288,4.232947,4.111073,3.921202,4.070576,4.018458,4.233733,4.054038,3.867161,4.219107,4.247389,4.172601,3.951598,4.109387,3.9523,4.133851,4.159625,4.195374,4.114355,4.250058,4.044047,4.111815,4.49304,4.003138
177,1405_i_at,7.835737,7.672319,6.530086,7.449529,4.674344,4.967532,6.302932,5.334102,4.24118,4.855321,5.832735,5.830924,6.096742,5.15382,6.903106,6.355502,5.704458,8.511233,6.307091,7.94464,6.562037,6.539928,5.547684,4.174567,6.174424,5.667678,5.671431,4.824855,4.758504,5.498845,5.244649,5.891941,4.288277,6.634257,7.826923
178,1431_at,3.877521,3.893266,3.94211,4.048554,4.52368,4.243116,4.208848,4.989051,3.994769,4.211411,4.791542,4.433063,4.265651,4.096988,4.0217,3.937058,3.840381,3.87096,3.782348,3.764598,3.901708,4.000805,4.118153,3.87245,3.774904,4.039122,3.988359,4.006199,3.887187,4.036463,4.041425,3.858563,4.133245,3.887527,4.265362
179,1438_at,5.642251,5.616066,5.757783,5.932638,5.829513,5.737141,5.528509,5.408464,5.397795,5.640882,5.553619,5.664077,6.080327,5.82027,5.64545,5.919265,6.192733,6.003216,5.883295,5.532051,6.159807,5.777294,5.99259,5.500054,5.798742,5.604279,5.717686,5.732317,5.842523,5.817269,5.979661,6.19972,5.841601,5.776118,5.877043
180,1487_at,6.527708,6.584738,6.4762,6.519248,6.372328,6.367841,6.477937,6.049723,6.251844,6.313626,6.279953,6.591818,6.635852,6.729028,6.523171,6.722002,6.93677,6.545659,6.851119,6.495676,6.482822,6.351125,6.61527,6.078602,6.727731,6.58726,6.370064,6.322495,6.407223,6.465437,6.526402,6.573656,6.460373,6.58595,6.426352
181,1494_f_at,5.441302,5.469801,5.61072,5.316227,5.436226,5.243383,5.149841,4.708519,5.132727,5.13173,5.512202,5.069639,5.53854,5.572239,5.116283,5.505965,5.120483,5.544502,5.264809,5.277194,5.692874,5.192572,5.704752,4.981004,5.54724,5.206586,5.158713,5.644185,5.229494,5.642364,5.465257,5.438738,5.333721,5.303552,5.464226
182,1598_g_at,8.079814,7.717277,7.976322,8.114834,8.130006,7.837742,8.027649,7.597514,7.268187,7.48086,8.39556,7.690778,7.992838,8.243841,7.871777,7.985721,7.914863,7.996374,7.991297,8.088184,8.137759,7.893703,8.044957,7.487142,7.922837,7.89955,8.097655,7.768613,7.80375,7.853701,8.452423,8.24813,8.078119,9.475367,7.951438
183,160020_at,7.004695,6.467612,6.978658,7.037559,7.115145,6.819786,6.92952,6.79985,6.492753,6.683008,7.070473,6.882548,6.852387,7.633202,6.651144,6.833541,6.715263,6.80037,7.068241,7.076928,7.088705,6.611701,7.330122,6.636911,6.931278,7.127053,6.972742,6.893921,6.916851,6.909141,6.810436,7.019966,6.904363,6.876396,6.840899
184,1729_at,7.534122,7.885071,7.544965,7.115623,6.843744,6.96948,7.279506,7.340378,6.844766,7.153807,7.334785,7.034101,6.794833,7.014082,7.251226,7.501332,7.249675,6.83344,7.846059,7.124558,6.853786,6.97724,6.695729,7.312012,7.293785,6.982876,6.625049,6.777954,6.95862,6.98175,7.074523,7.526196,6.761174,7.334425,6.980786
185,1773_at,4.926025,4.850371,5.235516,4.988284,5.351209,4.856891,5.347599,4.764809,4.684788,5.12015,5.311921,4.748508,4.851893,4.949659,4.924064,5.009484,4.874562,4.841384,4.951283,4.639912,5.125926,4.520419,5.045823,4.603749,4.795407,4.834669,4.869708,4.603561,5.078885,4.622975,4.72868,5.154998,4.923071,4.727893,4.755466
186,177_at,5.033014,5.024835,4.938734,5.254731,5.154114,5.29713,5.840313,5.222015,5.758258,5.051269,5.283348,5.054767,5.418582,5.377128,4.966073,5.083233,4.997901,5.105088,5.147408,5.027528,5.205013,5.296553,5.169175,4.808428,5.025864,5.059612,4.891673,4.908674,5.359512,5.050978,5.160844,5.736374,5.042863,4.92015,5.203806
187,179_at,8.712929,8.24656,8.753837,8.584202,8.676515,8.59403,8.533197,8.047818,7.897362,8.365883,8.391726,8.320312,8.727839,8.698946,8.373421,8.76021,8.379617,8.541158,8.508441,8.194526,8.890868,8.359862,8.883389,8.044596,8.629172,8.467097,8.546614,8.674119,8.546625,8.625205,8.804948,8.52939,8.810647,8.216238,8.666015
188,1861_at,4.729297,4.9343,4.892192,4.65466,4.770958,5.18192,5.120504,5.099545,4.736608,4.464818,4.460043,4.985099,5.214624,4.919722,5.219614,5.373719,5.139574,5.14242,4.983979,5.205685,5.030515,5.362541,4.684384,5.608624,4.732694,4.823021,4.934493,4.765736,5.204494,5.634512,5.602238,4.864278,5.019596,4.862202,4.862634
189,2028_s_at,5.998422,5.596964,6.014315,5.787041,6.159348,5.616201,5.539285,5.653342,5.227446,5.481023,5.968272,5.699687,5.757637,5.892788,5.464178,5.681364,5.719012,5.603702,5.459858,5.944328,5.727759,5.459852,5.922834,5.358471,5.897582,5.935127,5.859296,5.682325,5.820223,5.704398,5.826191,5.695514,5.852643,5.847252,5.487732
190,243_g_at,6.28369,6.581222,6.462701,6.478084,6.954814,6.871907,6.898127,7.252453,6.875854,6.759368,7.829818,6.887422,6.60581,6.814721,7.12597,6.477376,6.701433,6.133944,6.906545,6.929835,6.462008,6.884392,6.424424,7.098823,6.766554,6.645755,6.922632,6.316353,6.12904,6.76429,6.55848,7.703533,6.325881,6.89769,6.687592
191,266_s_at,8.82332,8.584056,8.854201,9.31001,4.000654,4.922952,4.203393,4.136749,3.793482,4.498759,3.806461,3.86539,5.704981,4.585694,3.772147,7.113718,4.139051,4.874194,3.897799,5.238193,6.050122,5.380987,7.635306,9.1109,3.981589,7.533964,4.027542,3.842204,4.685599,4.011913,4.267606,3.851995,3.882198,4.209758,3.756919
192,31637_s_at,7.952808,7.652724,8.087736,8.23271,8.282033,7.840975,7.842141,7.201863,7.732039,7.664688,7.991463,7.367275,7.980848,7.786338,7.304521,7.797132,7.60241,8.025674,7.976364,7.866414,8.023034,7.519134,8.338246,7.608262,8.073248,7.836414,7.639634,8.650576,7.445956,8.06709,7.869719,7.802285,7.811315,7.508508,7.864226
193,31799_at,3.919511,4.090767,3.777038,3.797384,3.95388,3.890129,3.931696,3.919073,4.043222,4.028841,3.996977,3.80039,3.822155,4.066777,3.831583,3.7785,3.870355,3.763574,3.880945,3.778906,3.867982,3.771277,3.909251,3.683283,3.834746,3.770488,3.804963,3.853309,3.845084,3.688606,3.825863,3.778598,3.796344,3.849587,3.768506
194,31807_at,7.983069,8.011786,8.174235,7.608936,7.740764,8.092968,8.027236,8.166994,8.104262,7.908291,7.94647,8.013611,8.059437,8.252115,8.209714,8.0644,8.001258,7.692512,7.815184,7.680481,8.137282,8.506891,7.856991,8.136331,8.113588,8.073724,8.011305,7.533278,8.493752,8.224631,8.322498,8.332766,8.317604,7.762776,8.58537
195,31826_at,7.699681,7.337474,7.183118,7.323669,6.946872,6.974136,7.037514,7.121516,7.304987,7.179522,7.183758,7.054015,6.864425,7.554063,7.448603,7.581435,7.381609,6.905527,8.402542,7.149846,6.923447,6.78155,7.536688,7.009242,6.932067,6.905573,6.685504,6.754456,7.06446,6.749846,7.114326,7.164852,6.721894,7.111989,6.729556
196,31835_at,4.378646,4.39323,4.792828,4.582946,4.259144,4.372595,4.270693,4.065423,4.165349,4.026937,4.341646,4.29294,4.388959,4.501852,4.285889,4.478357,4.293428,4.376095,4.349582,4.228175,4.511904,4.245589,4.581725,4.208566,4.374895,4.666448,4.255152,4.959402,4.466568,4.35468,4.376065,4.347495,4.519787,4.190066,4.402323
197,31837_at,8.769313,8.41452,8.630566,8.358151,8.382878,8.282209,8.447106,8.221121,7.940525,8.230894,8.696501,8.21488,8.401772,8.725079,8.087224,8.39894,8.254958,8.138123,8.725115,8.653095,8.334421,7.774364,8.391649,8.137328,8.609747,8.530726,7.998355,8.2032,8.10434,8.356876,8.308001,8.261605,8.077028,8.93675,8.184452
198,31845_at,7.975777,8.620797,7.645779,7.686163,5.177782,9.087706,6.434643,6.010067,8.372628,6.334536,7.317864,7.774966,8.408036,8.520909,7.509242,7.83174,7.910692,9.181293,8.36306,7.331958,6.599442,7.901076,8.486658,8.100098,7.496557,7.73479,8.033931,6.346513,6.579786,7.641357,7.318665,7.425793,7.220015,8.064338,8.375762
199,31846_at,8.587448,8.231858,8.867338,8.993473,9.208247,8.64805,8.73824,8.089705,8.284838,8.735758,8.729412,8.474562,8.913429,9.134626,8.589498,8.918973,8.519593,8.727804,8.712625,8.519538,8.941742,8.76576,9.03854,8.480356,8.801818,8.694973,8.643513,8.818545,8.872265,8.912745,9.060785,8.902919,8.895902,8.43981,8.810274
200,31861_at,8.063122,8.192834,8.18474,7.80552,8.050454,7.805398,7.817044,7.615979,7.663879,7.814262,7.943955,7.473058,7.629236,8.068031,7.694023,7.716944,7.683753,7.936121,8.064251,7.817371,8.08738,7.692762,8.122989,7.666409,8.034168,7.862247,7.44417,7.637405,8.199766,7.80203,7.820697,7.719477,7.92703,7.500879,8.039431
201,31874_at,5.866134,5.929917,5.772818,5.696487,6.071744,4.967905,5.683516,7.413271,6.882737,6.108814,8.211513,6.805155,5.776243,5.627088,5.270706,5.518478,5.12446,5.781111,5.82566,5.425743,5.353251,4.866226,4.977782,5.410785,5.577003,5.007354,5.207652,4.977746,5.452953,5.174666,5.163667,6.434077,5.476607,4.933468,5.479363
202,32029_at,7.589648,7.418413,7.585116,7.700404,7.553115,7.436004,7.415181,7.09304,7.026955,7.496336,7.409321,7.312286,7.508957,7.512325,7.552044,7.710705,7.492961,7.628161,7.525768,7.229318,7.848071,7.34171,7.81305,7.250925,7.609871,7.669693,7.519084,7.970029,7.710901,7.609882,7.6158,7.49779,7.530529,7.858678,7.5314
203,32032_at,6.921527,7.156484,6.914197,6.621934,6.576573,6.886278,6.928012,6.613804,7.473205,6.860206,6.823994,6.620154,7.07588,7.331467,6.614286,6.850194,6.920947,7.089408,7.057905,7.088454,6.778736,7.024693,7.624438,7.415126,7.4715,7.142622,6.831939,6.750909,6.714039,7.188492,6.798769,6.904251,6.652971,7.078448,7.441884
204,32042_at,3.907615,3.981287,4.023316,4.057098,3.827763,3.774764,3.901287,3.943976,3.932951,3.864655,3.805546,3.860614,3.849798,3.865595,3.955203,3.931987,4.134613,3.950974,3.999612,3.999411,3.898105,3.817897,4.037435,4.049225,3.938583,3.82439,3.973725,4.392333,3.889795,4.069135,3.899486,3.7176,3.834946,3.770605,3.833768
205,32062_at,4.173496,4.191482,4.171266,3.948812,4.248553,4.126669,4.338679,4.37001,4.351676,4.436959,4.344065,4.05866,4.276594,4.164561,4.700042,4.313348,4.320766,4.243101,4.365177,4.4191,4.425848,4.412717,4.34973,4.365472,4.514221,4.283609,4.240217,4.235147,4.499208,4.383004,4.339066,4.471591,4.352223,4.428043,4.288191
206,32069_at,6.02169,6.97542,6.110653,5.150711,4.619834,4.960358,4.67895,4.599199,6.563864,5.172609,4.646556,4.248715,4.99282,4.666905,4.493833,4.694267,4.674238,5.786459,5.533512,4.64293,4.003693,4.687351,5.979637,4.829171,4.750329,4.348629,4.333284,4.477617,4.325403,4.8392,4.468886,4.879252,4.26079,4.821737,5.325968
207,32088_at,3.376352,3.514377,3.379349,3.30863,3.475934,3.457766,3.767781,3.53878,3.693444,3.534511,3.47343,3.465416,3.389866,3.447817,3.447557,3.346432,3.331677,3.271981,3.415524,3.29961,3.311811,3.410436,3.378285,3.406639,3.43376,3.306434,3.339207,3.298297,3.380716,3.472064,3.372612,3.398035,3.442711,3.376997,3.41918
208,32091_at,5.510307,5.909718,5.215833,5.498474,4.695976,4.79477,5.18415,5.275233,6.128779,6.057596,4.885564,4.430116,5.312498,4.915241,5.105446,5.097905,5.138295,5.135221,6.020812,5.154264,4.602994,4.199454,5.446286,5.222133,5.598365,5.148205,4.53815,4.85774,4.515001,5.07681,4.266737,4.998433,4.761069,5.118365,4.744558
209,32094_at,5.80656,5.821146,5.913632,5.738056,5.680851,5.783684,5.675831,5.142908,5.723964,5.702293,5.787473,5.705758,5.844457,5.860698,5.19578,5.588568,5.834728,5.92272,5.617521,5.607741,5.990431,5.6722,6.165898,5.491645,6.060876,5.978347,5.976094,5.632544,5.60284,5.781619,5.664773,5.780536,5.658989,5.781056,5.745151
210,32099_at,7.225973,7.417808,6.732878,6.849511,6.397935,7.058678,6.916731,7.442986,7.163803,7.699204,7.020472,6.699802,6.275348,6.393928,6.884659,6.418628,6.671875,6.425294,7.406569,7.534663,5.804237,7.143576,6.306914,7.753091,6.910167,7.735091,7.0566,5.742737,6.770585,7.307368,6.874586,6.669501,6.688823,7.747474,7.089942
211,320_at,5.134627,5.269972,5.186566,4.84619,5.568623,4.899789,6.111808,5.353395,5.03503,5.021186,5.290482,5.27661,5.432488,5.128567,6.398205,4.676765,5.048709,4.56308,5.506996,6.14542,5.04507,5.369781,4.667132,5.317027,5.623963,5.067351,5.301611,5.416344,4.929077,5.873789,5.429618,5.316914,5.699618,5.107559,5.092335
212,32128_at,3.724999,3.748083,3.862487,3.830508,3.655077,3.546975,3.741721,3.481057,3.541072,3.853184,3.532145,3.574817,3.899837,3.687231,3.654639,3.751981,3.654987,3.751249,3.630454,3.566441,3.699968,4.014697,3.676525,3.46837,3.771191,3.625558,3.7501,3.543526,3.665365,3.52296,3.778425,3.832348,3.643715,3.714208,3.612996
213,32137_at,5.613184,5.550645,5.764828,5.485704,5.689029,5.684296,5.606207,5.222642,5.44578,5.858785,5.559494,5.547662,5.672398,5.604234,5.552731,5.668249,5.395638,5.660771,5.582459,5.553885,5.681198,5.695792,5.843543,5.625837,5.528693,5.352949,5.518974,5.405262,6.121251,5.815998,5.878359,5.892736,6.164939,5.816959,5.820483
